title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
A Journey Through The Prehistoric Desolation,"['Mystery', 'Xianxia', 'Adventure', 'Shounen Ai', 'Fantasy', 'Romance']",[''],6,1,0,2,4,2.8
The Path of the Cannon Fodder’s Counterattack,"['Adult', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Mature', 'Romance', 'Yaoi']","['Ancient China', 'Ancient Times', 'Bisexual Protagonist', 'Cautious Protagonist', 'Cowardly Protagonist', 'Cute Protagonist', 'Dense Protagonist', 'Dishonest Protagonist', 'Doting Love Interests', 'Drugs', 'Eunuch', 'Handsome Male Lead', 'Jealousy', 'Love Interest Falls in Love First', 'Manipulative Characters', 'Multiple Reincarnated Individuals', 'Past Plays a Big Role', 'Possessive Characters', 'Previous Life Talent', 'R*pe Victim Becomes Lover', 'Revenge', 'Royalty', 'R*pe', 'Schemes And Conspiracies', 'Second Chance', 'Strong Love Interests', 'Transmigration', 'Transported to Another World', 'Weak Protagonist']",43,39,129,165,397,4.1
The Undying Drama,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Xuanhuan']","['Alternate World', 'Divine Protection', 'Gods', 'Male Protagonist', 'Religions', 'Transported to Another World']",10,6,4,5,20,3.4
Bounded,"['Action', 'Drama', 'Mature', 'Romance', 'Yaoi']","['Betrayal', 'Love at First Sight', 'Love Interest Falls in Love First', 'Modern Day', 'Obsessive Love', 'Organized Crime', 'Police', 'R*pe', 'Stockholm Syndrome', 'Torture']",4,1,1,1,9,3.6
Why Is a Genius Such as Myself Accepting Apprentices?,"['Xianxia', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Antihero Protagonist', 'Cheats', 'Cultivation', 'Fast Cultivation', 'Genius Protagonist', 'Male Protagonist', 'Master-Disciple Relationship', 'Sect Development', 'System Administrator', 'Transported to Another World']",2,2,2,4,9,3.8
The Protagonist Is in the Right Position to Get Along With the Villain,"['Adventure', 'Romance', 'Xianxia', 'Yaoi']","['Ancient Times', 'Bloodlines', 'Cold Love Interests', 'Cultivation', 'Dao Companion', 'Dao Comprehension', 'Daoism', 'Dragons', 'Handsome Male Lead', 'Insects', 'Love Interest Falls in Love First', 'Male Yandere', 'Master-Servant Relationship', 'Phoenixes', 'Power Couple', 'R*pe', 'Spatial Manipulation', 'Strong Love Interests', 'Time Manipulation', 'Time Skip', 'Transmigration', 'Weak to Strong']",5,1,9,15,45,4.3
Detective From the Future,"['Action', 'Adventure', 'Fantasy']","['Character Growth', 'Crime', 'Male Protagonist', 'Modern Day', 'Mystery Solving', 'Police', 'Special Abilities', 'System Administrator', 'Time Travel']",1,3,7,4,7,3.6
The Reborn Noble Girl is Hard to Find,"['Fantasy', 'Historical', 'Romance']","['Ancient China', 'Betrayal', 'Complex Family Relationships', 'Female Protagonist', 'Nobles', 'Reincarnation', 'Revenge', 'Schemes And Conspiracies', 'Second Chance']",2,0,4,3,3,3.4
After She Died,"['Drama', 'Mature', 'Psychological', 'Tragedy']","['Adopted Children', 'Death of Loved Ones', 'Male Protagonist', 'Murders', 'R*pe', 'Second Chance', 'Short Story', 'Single Parent']",3,1,5,2,3,3.1
"First Love Choose Me, I’m Super Sweet","['Shounen Ai', 'Sports', 'School Life', 'Romance']","['Adapted to Drama CD', 'Bickering Couple', 'Calm Protagonist', 'Clever Protagonist', 'Cute Story', 'Doting Love Interests', 'First Love', 'Glasses-wearing Protagonist', 'Handsome Male Lead', 'Manly Gay Couple', 'Modern Day', 'Multiple POV', 'Proactive Protagonist', 'Protagonist Falls in Love First', 'Roommates', 'Slow Romance']",6,5,9,12,54,4.2
Sweet Alpha,"['Sci-fi', 'Yaoi']","['Calm Protagonist', 'Cold Protagonist', 'Love Interest Falls in Love First', 'Military', 'Omegaverse', 'Protagonist Strong from the Start', 'Royalty', 'Strong Love Interests']",3,2,2,0,15,4.0
Hell Chain Hotel,"['Shounen Ai', 'Supernatural']","['Business Management', 'Calm Protagonist', 'Cold Love Interests', 'Demons', 'Ghosts', 'Handsome Male Lead', 'Modern Day', 'Monsters', 'Orphans', 'Past Plays a Big Role']",3,2,3,3,12,3.8
There’s Something Not Quite Right With My Lover,"['Comedy', 'Romance', 'Yaoi']","['Businessmen', 'Celebrities', 'Cute Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Male Yandere', 'Models', 'Modern Day', 'Possessive Characters', 'Tsundere', 'Wealthy Characters', 'Yandere']",0,0,3,4,9,4.4
Fu Xing Dong Lai,"['School Life', 'Supernatural', 'Comedy', 'Slice of Life', 'Fantasy']","['Academy', 'Carefree Protagonist', 'Caring Protagonist', 'Character Growth', 'Demons', 'Determined Protagonist', 'Fantasy Creatures', 'Friendship', 'Half-human Protagonist', 'Heartwarming', 'Hiding True Identity', 'Magic', 'Male Protagonist', 'Monsters', 'Roommates', 'Time Travel', 'Transformation Ability', 'Unlucky Protagonist']",0,4,3,2,17,4.2
Heretic Apothecary Genius,"['Adventure', 'Martial Arts', 'Action', 'Xuanhuan']","['Ancient China', 'Family Conflict', 'Immortals', 'Underestimated Protagonist', 'Weak to Strong']",1,0,1,0,1,3.0
I Only Like Your Character Settings,"['Adventure', 'Comedy', 'Drama', 'Romance', 'Yaoi']","['Acting', 'Adapted to Drama CD', 'Adapted to Manhua', 'Artists', 'Celebrities', 'Child Abuse', 'Clever Protagonist', 'Doting Love Interests', 'First Love', 'Love Interest Falls in Love First', 'Modern Day', 'Past Plays a Big Role', 'Past Trauma', 'Playboys', 'Popular Love Interests', 'Showbiz', 'Strong Love Interests', 'Tragic Past', 'Younger Love Interests']",0,1,5,14,49,4.6
The Cop with Supernatural Power,"['Martial Arts', 'Fantasy', 'Supernatural', 'Harem']","['Beasts', 'Male Protagonist', 'Modern Day', 'Orphans', 'Police']",12,5,6,2,2,2.1
Dark Tales,"['Adult', 'Horror', 'Mature', 'Smut', 'Supernatural', 'Yaoi']","['Bestiality', 'Dark', 'F*llatio', 'Human-Nonhuman Relationship', 'M*sturbation', 'Monster Society', 'Monsters', 'Mpreg', 'Or*y', 'Race Change', 'R*pe Victim Becomes Lover', 'R*pe', 'Short Story', 'Tentacles', 'Threesome']",7,15,15,20,73,4.1
Cool Goddess Special Agent,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Josei', 'Romance', 'Supernatural', 'Xuanhuan']","['Assassins', 'Beasts', 'Beautiful Female Lead', 'Calm Protagonist', 'Clever Protagonist', 'Cold Protagonist', 'Complex Family Relationships', 'Cultivation', 'Cunning Protagonist', 'Familial Love', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Magic', 'Polyandry', 'Poor to Rich', 'Power Couple', 'Reverse Harem', 'Ruthless Protagonist', 'Sibling Rivalry', 'Slow Romance', 'Transmigration']",17,1,11,13,55,3.9
The Young Master’s Bride,['Fantasy'],[''],2,2,0,0,0,1.5
The Sweet Life: Secretly Married to a Movie Star,"['Fantasy', 'Romance']",['Female Protagonist'],0,1,0,1,0,3.0
Apex War God,['Xuanhuan'],"['Beasts', 'Betrayal', 'Cultivation', 'Male Protagonist', 'Prison']",2,0,1,4,4,3.7
Legendary Armament Canon,"['Shounen', 'Xuanhuan', 'Comedy', 'Action', 'Martial Arts', 'Fantasy', 'Adult']","['Accelerated Growth', 'Ancient Times', 'Arrogant Characters', 'Blacksmith', 'Cheats', 'Cultivation', 'Dense Protagonist', 'Fast Cultivation', 'Male Protagonist', 'Misunderstandings', 'Naive Protagonist', 'Poor to Rich', 'S*ave Protagonist', 'Transmigration', 'Weak to Strong']",7,2,3,1,8,3.0
The Dreamer in the Spring Boudoir,"['Drama', 'Historical', 'Josei', 'Romance']","['Adapted to Drama', 'Ancient China', 'Aristocracy', 'Arranged Marriage', 'Betrayal', 'Black Belly', 'Business Management', 'Calm Protagonist', 'Carefree Protagonist', 'Character Growth', 'Childcare', 'Clever Protagonist', 'Cold Protagonist', 'Couple Growth', 'Cross-dressing', 'Cunning Protagonist', 'Death of Loved Ones', 'Doting Older Siblings', 'Dreams', 'Empires', 'Female Protagonist', 'Ghosts', 'Handsome Male Lead', 'Imperial Harem', 'Late Romance', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Knowledge', 'Multiple POV', 'Nobles', 'Persistent Love Interests', 'Politics', 'Polygamy', 'Pregnancy', 'Proactive Protagonist', 'Royalty', 'Schemes And Conspiracies', 'Secret Identity', 'Servants', 'Sister Complex', 'Slow Romance', 'Smart Couple', 'Time Skip', 'Transmigration', 'Villainess Noble Girls']",99,49,58,88,330,3.8
Chasing Tides,"['Drama', 'Mature', 'Tragedy', 'Yaoi']","['Acting', 'Adapted to Drama CD', 'Bullying', 'Cautious Protagonist', 'Celebrities', 'Cold Love Interests', 'Cooking', 'Debts', 'Depression', 'Dishonest Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Hated Protagonist', 'Misunderstandings', 'Modern Day', 'Outcasts', 'Poor Protagonist', 'Secretive Protagonist', 'Showbiz', 'Singers', 'Younger Love Interests']",3,1,2,8,31,4.4
The Original Partner Robbed of Luck is Reborn,"['Drama', 'Fantasy', 'Romance', 'Tragedy']","['Arranged Marriage', 'Beautiful Female Lead', 'Female Protagonist', 'Handsome Male Lead', 'Military', 'Modern Day', 'Multiple Reincarnated Individuals', 'Second Chance', 'Soldiers']",4,0,0,2,8,3.7
Heavenly Tyrant Martial Soul,"['Martial Arts', 'Action', 'Xuanhuan']","['Beautiful Female Lead', 'Calm Protagonist', 'Cultivation', 'Determined Protagonist', 'Male Protagonist', 'Martial Spirits', 'Multiple Realms', 'Weak to Strong']",6,8,1,4,24,3.7
Lessons on Raising a Partner,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mecha', 'Romance', 'Sci-fi', 'Supernatural', 'Yaoi']","['Androids', 'Appearance Different from Actual Age', 'Cosmic Wars', 'Couple Growth', 'Cute Protagonist', 'Doting Love Interests', 'Dragons', 'Elemental Magic', 'Elves', 'Futuristic Setting', 'Insects', 'Non-humanoid Protagonist', 'Outer Space', 'Possessive Characters', 'Shameless Protagonist', 'Slow Romance', 'Transformation Ability', 'Transmigration', 'Weak to Strong']",13,17,37,45,124,4.1
The Supreme Dragon Emperor,"['Xuanhuan', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Adultery', 'Alchemy', 'Calm Protagonist', 'Clever Protagonist', 'Cunning Protagonist', 'Gate to Another World', 'Genius Protagonist', 'Hard-Working Protagonist', 'Heavenly Tribulation', 'Immortals', 'Male Protagonist', 'Multiple Realms', 'Past Plays a Big Role', 'Protagonist Strong from the Start', 'Revenge', 'Romantic Subplot', 'Skill Creation', 'Strong to Stronger', 'Transported to Another World']",17,5,3,2,19,3.0
First Love After Marriage,"['Shounen Ai', 'Fantasy', 'Romance']","['Arranged Marriage', 'Blind Dates', 'Clever Protagonist', 'Couple Growth', 'Cute Children', 'Cute Protagonist', 'Cute Story', 'Doting Love Interests', 'First Love', 'Handsome Male Lead', 'Kind Love Interests', 'Mpreg', 'Omegaverse', 'Short Story', ' ""Sibling\'s Care""]']",5,1,5,0,8,3.3
Castle of Black Iron,"['Wuxia', 'Mature', 'School Life', 'Harem', 'Sci-fi', 'Comedy', 'Action', 'Ecchi', 'Fantasy']","['Army Building', 'Artifacts', 'Character Growth', 'Cultivation', 'Cunning Protagonist', 'Death of Loved Ones', 'Demons', 'Depictions of Cruelty', 'Determined Protagonist', 'First-time Interc**rse', 'F*llatio', 'Game Elements', 'Gods', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Harem-seeking Protagonist', 'Hot-blooded Protagonist', 'Kingdom Building', 'Love Interest Falls in Love First', 'Magic', 'Magical Space', 'Male Protagonist', 'M*sturbation', 'Monsters', 'Naive Protagonist', 'Nationalism', 'Nobles', 'Perverted Protagonist', 'Politics', 'Polygamy', 'Poor to Rich', 'Post-apocalyptic', 'Pragmatic Protagonist', 'Pregnancy', 'Racism', 'Reverse R*pe', 'Romantic Subplot', 'Shameless Protagonist', 'Time Skip', 'Wars', 'Weak to Strong', 'Zombies']",154,47,50,69,262,3.4
"Hubby, Your Fox Fairy Wants Everything","['Fantasy', 'Mystery', 'Shoujo']","['Female Protagonist', 'Fox Spirits', 'Reincarnation']",16,2,3,1,15,2.9
Evil Child Black-Bellied Mother,"['Fantasy', 'Josei', 'Romance']","['Ancient China', 'Assassins', 'Black Belly', 'Childcare', 'Female Protagonist', 'Transmigration']",4,2,8,2,29,4.1
The Entire Interstellar is Watching What I Eat,"['Adventure', 'Romance', 'Sci-fi', 'Yaoi']","['Cooking', 'Criminals', 'Futuristic Setting', 'Survival', 'Survival Game', 'System Administrator', 'Transmigration']",1,1,2,2,11,4.2
Breaking the Day,"['Xuanhuan', 'Harem', 'Drama', 'Adventure', 'Comedy', 'Martial Arts']","['Aristocracy', 'Calm Protagonist', 'Cultivation', 'Empires', 'Familial Love', 'Genius Protagonist', 'Lucky Protagonist', 'Magic Beasts', 'Magic Formations', 'Male Protagonist', 'Multiple Realms', 'Murders', 'Mystery Solving', 'Quirky Characters', 'Shameless Protagonist', 'S*aves', 'Wars', 'Wealthy Characters']",12,1,7,5,21,3.5
Female Side Character Of NP Novel Wants To Go On A Strike (1v2),"['Mature', 'School Life', 'Romance', 'Harem', 'Drama', 'Comedy', 'Smut', 'Fantasy', 'Adult']","['Beautiful Female Lead', 'C*nnilingus', 'Female Protagonist', 'First Love', 'First-time Interc**rse', 'Handsome Male Lead', 'Love at First Sight', 'Modern Day', 'Reverse Harem']",1,1,2,2,4,3.7
Legend of the Swordking,"['School Life', 'Action', 'Xuanhuan', 'Martial Arts']","['Cultivation', 'Male Protagonist', 'Romantic Subplot', 'Sword Wielder']",1,2,1,1,8,4.0
Counter Attack,"['Comedy', 'Mature', 'Romance', 'Smut', 'Yaoi']","['Adapted to Drama', 'Adultery', 'BDSM', 'Businessmen', 'Character Growth', 'Cruel Characters', 'Cute Children', 'Enemies Become Lovers', 'Fat to Fit', 'Handsome Male Lead', 'Jealousy', 'Lazy Protagonist', 'Modern Day', 'Obsessive Love', 'Pets', 'Possessive Characters', 'Pretend Lovers', 'Proactive Protagonist', 'Prostit**es', 'Quirky Characters', 'Revenge', 'Shameless Protagonist', 'Wealthy Characters']",26,11,18,27,81,3.8
My Boyfriend Is a Husky,"['Adult', 'Fantasy', 'Mature', 'Smut', 'Yaoi']","['Animal Characteristics', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Non-humanoid Protagonist', 'Showbiz']",1,1,1,1,5,3.9
Warm Water Spirits,"['Shounen Ai', 'Romance']","['Calm Protagonist', 'Doting Love Interests', 'e-Sports', 'Military', 'Seme Protagonist', 'Sickly Characters']",3,2,2,2,4,3.2
Bestial Blade,"['Mature', 'Supernatural', 'Action', 'Shounen Ai', 'Martial Arts', 'Fantasy', 'Romance']","['Abandoned Children', 'Adapted to Drama CD', 'Age Progression', 'Alternate World', 'Animal Characteristics', 'Beastkin', 'Beasts', 'Betrayal', 'Bloodlines', 'Calm Protagonist', 'Character Growth', 'Child Protagonist', 'Confident Protagonist', 'Couple Growth', 'Determined Protagonist', 'Discrimination', 'Genius Protagonist', 'Hard-Working Protagonist', 'Introverted Protagonist', 'Kingdom Building', 'Mysterious Illness', 'Mythical Beasts', 'Orphans', 'Power Couple', 'Quirky Characters', 'Sickly Characters', 'Slow Romance', 'Strength-based Social Hierarchy', 'Strong Love Interests', 'Tragic Past', 'Tribal Society', 'Underestimated Protagonist', 'Weak to Strong', 'Werebeasts']",7,3,6,8,45,4.2
Turning Into My Buddy’s Lover After My Rebirth,"['Gender Bender', 'Romance']","['Love Interest Falls in Love First', 'Male to Female', 'Modern Day', 'Multiple Reincarnated Individuals', 'Pregnancy', 'Reincarnation', 'Transmigration']",4,3,2,0,5,2.9
Pure Love,"['School Life', 'Adult', 'Yaoi', 'Slice of Life', 'Romance']","['Clingy Lover', 'Doting Love Interests', 'First-time Interc**rse', 'F*llatio', 'Handsome Male Lead', 'M*sturbation', 'Modern Day', 'Protagonist Falls in Love First']",7,8,5,20,70,4.3
God of Life,"['Psychological', 'Mystery', 'Romance', 'Harem', 'Drama', 'Adventure', 'Comedy', 'Slice of Life', 'Fantasy', 'Adult']","['Beautiful Female Lead', 'Business Management', 'Businessmen', 'First-time Interc**rse', 'Game Elements', 'Level System', 'Male Protagonist', 'Modern Day', 'Poor to Rich', 'Special Abilities', 'Sudden Wealth', 'System Administrator', 'Weak to Strong']",21,9,9,7,30,3.2
I Don’t Mind You Being Ugly and Blind,"['Drama', 'Fantasy', 'Romance']","['Beautiful Female Lead', 'Childcare', 'Cute Children', 'Disfigurement', 'Female Protagonist', 'Modern Day', 'Possessive Characters', 'Pregnancy', 'Showbiz', 'Transmigration', 'Twins', 'Ugly to Beautiful', 'Wealthy Characters']",4,2,6,4,5,3.2
My Foolish Snake Husband Wouldn’t Stop Pestering Me,"['Xuanhuan', 'Yaoi', 'Supernatural', 'Tragedy', 'Shounen Ai']","['An*l', 'Abusive Characters', 'Adopted Protagonist', 'Adultery', 'Affair', 'Appearance Different from Actual Age', 'Caring Protagonist', 'Character Growth', 'Cohabitation', 'Cruel Characters', 'Cultivation', 'Demons', 'Depictions of Cruelty', 'Emotionally Weak Protagonist', 'Handsome Male Lead', 'Hated Protagonist', 'Human-Nonhuman Relationship', 'Marriage', 'Modern Day', 'Mpreg', 'Non-humanoid Protagonist', 'Past Plays a Big Role', 'Poor Protagonist', 'R*pe Victim Becomes Lover', 'Reincarnation', 'Revenge', 'R*pe', 'Sadistic Characters', 'Selfless Protagonist', 'S*xual Abuse', 'Showbiz', 'Strong Love Interests', 'Tragic Past']",20,9,12,7,13,2.7
Killing Show,"['Action', 'Adult', 'Mature', 'Psychological', 'Romance', 'Tragedy', 'Yaoi']","['Adapted to Drama CD', 'Antihero Protagonist', 'Biochip', 'Bisexual Protagonist', 'Cannibalism', 'Celebrities', 'Character Growth', 'Charismatic Protagonist', 'Cold Love Interests', 'Criminals', 'Cruel Characters', 'Dark', 'Death', 'Depictions of Cruelty', 'Discrimination', 'Doting Love Interests', 'Drugs', 'Dystopia', 'Famous Protagonist', 'Forced Living Arrangements', 'Futuristic Setting', 'Genetic Modifications', 'Gore', 'Manipulative Characters', 'Manly Gay Couple', 'Monsters', 'Murders', 'Mutated Creatures', 'Near-Death Experience', 'Past Trauma', 'Power Couple', 'Revenge', 'Reversible Couple', 'R*pe', 'Ruthless Protagonist', 'Sadistic Characters', 'Schemes And Conspiracies', 'Showbiz', 'Smart Couple', 'Survival Game', 'Teamwork', 'Thriller', 'Torture']",10,2,5,7,43,4.1
Ling Shan Jun,"['Drama', 'Fantasy', 'Romance', 'Yaoi']","['Different Social Status', 'Handsome Male Lead', 'Mpreg', 'Older Love Interests', 'Short Story', 'Strong Love Interests']",2,1,4,1,15,4.1
Hunter’s Blade,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Xuanhuan']","['Adventurers', 'Assassins', 'Blood Manipulation', 'Bloodlines', 'Cultivation', 'Demons', 'Evil Organizations', 'Fantasy World', 'Heroes', 'Male Protagonist', 'Martial Spirits', 'Monsters', 'Murders', 'Mystery Solving', 'Reverse Harem', 'Soldiers', 'Sword And Magic']",0,0,1,0,1,4.0
Fugui Ronghua,"['Gender Bender', 'Slice of Life', 'Historical', 'Josei']","['Ancient China', 'Arranged Marriage', 'Beautiful Female Lead', 'Bisexual Protagonist', 'Calm Protagonist', 'Childcare', 'Female Protagonist', 'Love Interest Falls in Love First', 'Male to Female', 'Pragmatic Protagonist', 'Pregnancy', 'Transmigration', 'Unrequited Love']",7,6,18,36,82,4.2
Forced Estrus,"['Adult', 'Drama', 'Romance', 'Sci-fi', 'Smut', 'Yaoi']","['Devoted Love Interests', 'F*llatio', 'Futuristic Setting', 'Generals', 'Manly Gay Couple', 'Military', 'Omegaverse', 'Orphans', 'Possessive Characters', 'Power Couple', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'R*pe Victim Becomes Lover', 'R*pe', 'Seme Protagonist', 'Short Story', 'Soldiers', 'Stockholm Syndrome', 'Strong Love Interests']",7,7,27,38,84,4.1
My Wife is My Life!,"['Drama', 'Comedy', 'Slice of Life', 'Fantasy', 'Romance']","['Acting', 'Beautiful Female Lead', 'Black Belly', 'Businessmen', 'Celebrities', 'Cold Love Interests', 'Cunning Protagonist', 'Early Romance', 'Female Protagonist', 'Forced into a Relationship', 'Forced Marriage', 'Handsome Male Lead', 'Modern Day', 'Older Love Interests', 'Power Couple', 'Showbiz', 'Stockholm Syndrome', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'Unconditional Love', 'Wealthy Characters']",21,10,23,21,117,4.1
The Left Ear,"['School Life', 'Drama', 'Josei', 'Tragedy', 'Romance']","['Adapted to Movie', 'Betrayal', 'Coming of Age', 'Dead Protagonist', 'Death', 'Death of Loved Ones', 'Love Interest Falls in Love First', 'Love Triangles', 'Revenge', 'Unconditional Love']",1,2,6,2,5,3.5
Qing Guo Yingxiong,"['Psychological', 'Drama', 'Yaoi', 'Martial Arts', 'Romance']","['Betrayal', 'Generals', 'Handsome Male Lead', 'Hiding True Abilities', 'Royalty', 'R*pe', 'Strong Love Interests']",12,12,13,13,24,3.3
"One-way Friendship, Two-way Crush","['School Life', 'Yaoi', 'Romance']","['Handsome Male Lead', 'Modern Day', 'Seme Protagonist', 'Short Story']",1,3,5,9,10,3.9
I Became the Cure for the Villain?!,"['Slice of Life', 'Josei', 'Romance']","['Body Swap', 'Cold Love Interests', 'Complex Family Relationships', 'Female Protagonist', 'Handsome Male Lead', 'Sibling Rivalry', 'Siblings Not Related by Blood', 'Sickly Characters', 'Slow Romance', 'System Administrator', 'Transmigration', 'Wealthy Characters']",5,1,3,0,5,2.9
I Woke up to Find I Have a Child,"['Drama', 'Romance', 'Yuri']","['Acting', 'Amnesia', 'Beautiful Female Lead', 'Cute Children', 'Kidnappings', 'Marriage', 'Misunderstandings', 'Modern Day', 'Past Plays a Big Role', 'Past Trauma', 'Pregnancy', 'Second Chance', 'Slow Romance']",3,0,3,4,44,4.6
The Snowy Path of the Heroic Blade,"['Xuanhuan', 'Harem', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Adapted to Drama', 'Cultivation', 'Male Protagonist']",1,1,5,3,13,4.1
Blood Moon Hunters,"['Action', 'Adventure', 'Fantasy', 'Xuanhuan']",['Male Protagonist'],6,1,2,1,7,3.1
"After The Breakup, I Became The Marshal’s Wife","['Sci-fi', 'Drama', 'Supernatural', 'Comedy', 'Mecha', 'Shounen Ai', 'Romance']","['Arrogant Characters', 'Beast Companions', 'Bickering Couple', 'Calm Protagonist', 'Charming Protagonist', 'Clever Protagonist', 'Cold Love Interests', 'Comedic Undertone', 'Confident Protagonist', 'Doting Love Interests', 'Dragons', 'Famous Protagonist', 'Fearless Protagonist', 'Futuristic Setting', 'Gamers', 'Genius Protagonist', 'Handsome Male Lead', 'Lazy Protagonist', 'Love Interest Falls in Love First', 'Medical Knowledge', 'Military', 'Money Grubber', 'Narcissistic Protagonist', 'Overpowered Protagonist', 'Pharmacist', 'Phoenixes', 'Popular Love Interests', 'Power Couple', 'Protagonist Strong from the Start', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Sharp-tongued Characters', 'Slow Romance', 'Strong Love Interests', 'Strong to Stronger', 'Transmigration', 'Wealthy Characters']",5,4,19,28,53,4.1
The Two Omega’s Heats,"['School Life', 'Mature', 'Romance', 'Yaoi', 'Smut', 'Slice of Life', 'Fantasy', 'Adult']","['Carefree Protagonist', 'Charming Protagonist', 'Handsome Male Lead', 'Nudity', 'Obsessive Love', 'Older Love Interests', 'Omegaverse', 'Reversible Couple', 'Toys']",4,7,18,16,75,4.3
I’m Really Just an Ordinary Person,"['Psychological', 'Mystery', 'Supernatural', 'Action', 'Shounen Ai', 'Fantasy']","['Absent Parents', 'Apathetic Protagonist', 'Calm Protagonist', 'Childhood Friends', 'Childhood Love', 'Cold Protagonist', 'Complex Family Relationships', 'Conditional Power', 'Couple Growth', 'Death', 'Death of Loved Ones', 'Devoted Love Interests', 'Game Elements', 'Godly Powers', 'Gore', 'Handsome Male Lead', 'Late Romance', 'Lazy Protagonist', 'Lovers Reunited', 'Male Yandere', 'Manly Gay Couple', 'Mismatched Couple', 'Modern Day', 'Modern Knowledge', 'Monsters', 'Mystery Solving', 'Obsessive Love', 'Past Plays a Big Role', 'Possessive Characters', 'Power Couple', 'Romantic Subplot', 'Strong to Stronger', 'Survival Game', 'Terminal Illness', 'Time Manipulation', 'Time Travel', 'Underestimated Protagonist', 'Unlucky Protagonist']",3,3,35,46,112,4.3
Who Touched My Tail!,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Romance', 'Xianxia', 'Yaoi']","['Alternate World', 'Ancient Times', 'Apocalypse', 'Appearance Changes', 'Appearance Different from Actual Age', 'Artificial Intelligence', 'Calm Protagonist', 'Celebrities', 'Charismatic Protagonist', 'Couple Growth', 'Cross-dressing', 'Cultivation', 'Cunning Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Episodic', 'Family Conflict', 'Famous Protagonist', 'Fantasy World', 'Fox Spirits', 'Futuristic Setting', 'Handsome Male Lead', 'Heartwarming', 'Heavenly Tribulation', 'Incest', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Realms', 'Non-humanoid Protagonist', 'Obsessive Love', 'Omegaverse', 'Outer Space', 'Overpowered Protagonist', 'Post-apocalyptic', 'Revenge', 'Royalty', 'Showbiz', 'Slow Romance', 'Special Abilities', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'Tsundere', 'Unconditional Love', 'Virtual Reality', 'Wealthy Characters', 'World Hopping', 'Zombies']",33,35,62,108,352,4.2
Devil King From The Otherworldly Dimension,"['Ecchi', 'Harem', 'Sci-fi', 'Action', 'Martial Arts', 'Fantasy', 'Romance']","['Dolls/Puppets', 'Fanfiction', 'Knights', 'Loli', 'Male Protagonist', 'Nobles', 'Polygamy', 'Resurrection', 'Sword And Magic', 'Sword Wielder', 'Transmigration', 'Wars']",27,9,11,14,45,3.4
Bringing the Supermarket to the Apocalypse,"['Sci-fi', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Horror']","['Alternate World', 'Bloodlines', 'Calm Protagonist', 'Cheats', 'Clever Protagonist', 'Cultivation', 'Domestic Affairs', 'Evolution', 'Fast Cultivation', 'Firearms', 'Game Elements', 'Hard-Working Protagonist', 'Leadership', 'Magic', 'Magical Space', 'Male Protagonist', 'Monsters', 'Mutated Creatures', 'Post-apocalyptic', 'Special Abilities', 'Strength-based Social Hierarchy', 'Sudden Strength Gain', 'Survival', 'Transported Modern Structure', 'Transported to Another World', 'Weak to Strong', 'Zombies']",49,21,23,18,107,3.5
Accidentally Offending The Dangerous CEO,['Romance'],"['Female Protagonist', 'Modern Day']",3,1,1,1,1,2.4
He’s On The Street,"['Mature', 'Romance', 'Tragedy']","['Masochistic Characters', 'Modern Day']",0,0,1,0,0,3.0
"Ancestor, Watch Over Me","['Action', 'Adventure', 'Comedy', 'Fantasy']","['Cultivation', 'Dead Protagonist', 'Male Protagonist', 'Overpowered Protagonist', 'Romantic Subplot', 'System Administrator', 'Unique Cultivation Technique']",1,1,1,2,2,3.4
You Owe Me Your Draft,"['Comedy', 'Romance', 'Shoujo']","['Boss-Subordinate Relationship', 'Chat Rooms', 'Editors', 'Hard-Working Protagonist', 'Lazy Protagonist', 'Misunderstandings', 'Office Romance', 'Oneshot', 'Writers']",0,0,7,41,86,4.6
